"id","company","model","content","created_at","updated_at"
"182","HTC","816S","هوسينج","2024-10-27 23:02:58","2024-10-27 23:02:58"
"183","HTC","820","شاشه بفريم","2024-10-27 23:03:18","2024-10-27 23:03:18"
"184","HTC","616H.","باك + شاشه + هوسينج","2024-10-27 23:04:26","2024-10-27 23:04:26"
"185","HTC","M8","كامل بدون بطاريه","2024-10-27 23:05:27","2024-10-27 23:05:27"
"186","HTC","310","كامل","2024-10-27 23:05:39","2024-10-27 23:05:39"
"187","HTC","326","كامل","2024-10-27 23:05:39","2024-10-27 23:14:47"
"188","HTC","310","كامل","2024-10-27 23:05:54","2024-10-27 23:15:13"
"189","HTC","530","كامل","2024-10-27 23:05:54","2024-10-27 23:17:29"
"190","HTC","DESINI","شاشه + فرام + باك","2024-10-27 23:06:10","2024-10-27 23:18:49"
"191","OPPO","F5","بصمه + فرام + باك + شحن + بطريه","2024-10-27 23:08:44","2024-10-27 23:20:25"
"192","OPPO","A3S","باك + ربط + جرس","2024-10-27 23:22:00","2024-10-27 23:22:00"
"193","OPPO","A3S","باك + بطاريه + فريم + جرس","2024-10-27 23:23:18","2024-10-27 23:23:18"
"194","OPPO","A5S","شحن + ربط + بطاريه + جرس + بصمه + مديل + باك","2024-10-27 23:25:08","2024-10-27 23:25:08"
"195","OPPO","A3S","شاشه بفريم + ربط + شحن + باك","2024-10-27 23:26:18","2024-10-27 23:26:18"
"196","OPPO","A71","بورده + شاشه بفريم + جرس + ربط","2024-10-27 23:27:26","2024-10-27 23:27:26"
"197","OPPO","A3S","باك","2024-10-27 23:29:56","2024-10-27 23:29:56"
"198","OPPO","A11W","هوسينج + بورده","2024-10-27 23:31:25","2024-10-27 23:31:25"
"199","OPPO","A3S","باك + كامرات + بيت خط + بطاريه","2024-10-27 23:32:41","2024-10-27 23:32:41"
"200","OPPO","A12","باك + كامره + بيت + خط","2024-10-27 23:34:31","2024-10-27 23:34:31"
"201","OPPO","A54","هوسينج","2024-10-27 23:35:15","2024-10-27 23:35:15"
"202","OPPO","مش عارف","شاشه بفريم + ربط + شحن + بطاريه + بور + جراس + عدسه","2024-10-27 23:37:36","2024-10-27 23:37:36"
"203","HUAWEI","G730","كامل","2024-10-27 23:39:27","2024-10-27 23:39:27"
"204","HUAWEI","Y7","ربط + هوسينج + جرس","2024-10-27 23:40:23","2024-10-27 23:40:23"
"205","HUAWEI","T8","كامل","2024-10-27 23:40:47","2024-10-27 23:40:47"
"206","HUAWEI","GR5-2017","هوسينج","2024-10-27 23:43:19","2024-10-27 23:43:19"
"207","HUAWEI","Y6","كامل","2024-10-27 23:43:53","2024-10-27 23:43:53"
"208","HONOR","8A","بورده + شحن + ربط + شاشه بفريم + باك","2024-10-27 23:45:58","2024-10-27 23:45:58"
"209","HUAWEI","MATE20","بورده + فرام + جرس + ربط + شحن","2024-10-27 23:47:00","2024-10-27 23:47:00"
"210","HUAWEI","Y520","كامل","2024-10-27 23:47:25","2024-10-27 23:47:25"
"211","HUAWEI","Y6 PRIME","باك + فرام","2024-10-27 23:48:18","2024-10-27 23:48:18"
"212","HONOR","9LITE","كامل","2024-10-27 23:48:58","2024-10-27 23:48:58"
"213","HUAWEI","Y9 PRIME","باك + فرام","2024-10-27 23:49:59","2024-10-27 23:49:59"
"214","HUAWEI","Y6 PRO","هوسينج","2024-10-27 23:50:29","2024-10-27 23:50:29"
"215","HUAWEI","GR5","هوسينج + ربط + شحن + بصمه + جرس","2024-10-27 23:51:38","2024-10-27 23:51:38"
"216","HUAWEI","Y6 PRO","كامل","2024-10-27 23:52:03","2024-10-27 23:52:03"
"217","HUAWEI","MATE10LITE","هوسينج","2024-10-27 23:52:51","2024-10-27 23:52:51"
"218","HUAWEI","NOVE3I","باك","2024-10-27 23:53:27","2024-10-27 23:53:27"
"219","HUAWEI","P8","هوسينج","2024-10-27 23:53:43","2024-10-27 23:53:43"
"220","HUAWEI","Y600","كامل","2024-10-27 23:54:07","2024-10-27 23:54:07"
"221","HONOR","8X","فرام + كاميرات","2024-10-27 23:54:47","2024-10-27 23:54:47"
"222","HUAWEI","Y7 PRIME","باك","2024-10-27 23:57:45","2024-10-27 23:57:45"
"223","HONOR","8X","فرام + باك","2024-10-27 23:58:27","2024-10-27 23:58:27"
"224","HUAWEI","Y7 18","شاشه بفريم + بورده","2024-10-27 23:59:15","2024-10-27 23:59:15"
"225","HUAWEI","مش عارف","شاشه بفريم","2024-10-27 23:59:40","2024-10-27 23:59:40"
"226","HUAWEI","Y7 PRO","جرس + باك +فريم + شاشه","2024-10-28 00:00:59","2024-10-28 00:00:59"
"227","HUAWEI","Y6 PRO","شاشه بفريم","2024-10-28 00:02:16","2024-10-28 00:02:16"
"228","HUAWEI","Y6","فرام شحن + ربط","2024-10-28 00:03:07","2024-10-28 00:03:07"
"229","HUAWEI","Y5 PRO","كامل","2024-10-28 00:03:07","2024-10-28 00:05:00"
"230","HUAWEI","MATE10 LITE","بصمه + باك","2024-10-28 00:03:34","2024-10-28 00:06:10"
"231","HONOR","10 LITE","باك","2024-10-28 00:06:43","2024-10-28 00:06:43"
